id,area,beds,baths,detail_url,image_urls,key_house
83893351,849.0,2,2,https://www.zillow.com/homedetails/4133-Florida-St-APT-5-San-Diego-CA-92104/83893351_zpid/,https://photos.zillowstatic.com/fp/af1cf29c0e5b810bb53709fe199aa1ff-p_e.jpg,18
2056009621,0.0,0,0,https://www.zillow.com/homedetails/9810-9810-Smith-Station-Rd-Groveland-CA-95321/2056009621_zpid/,https://photos.zillowstatic.com/fp/f1dd8965dae13cf2872e68bcf2d3566b-p_e.jpg,19
25653581,1000.0,1,1,https://www.zillow.com/homedetails/106-Ocean-Dr-San-Clemente-CA-92672/25653581_zpid/,https://photos.zillowstatic.com/fp/c889a0a7cb1354533458b53b50fbacd7-p_e.jpg,20
15339563,690.0,2,1,https://www.zillow.com/homedetails/1525-S-Aurora-St-Stockton-CA-95206/15339563_zpid/,https://photos.zillowstatic.com/fp/b91845499b5067b97271347405e35df2-p_e.jpg,21
52476672,1843.0,4,2,https://www.zillow.com/homedetails/43145-Via-Angeles-Temecula-CA-92592/52476672_zpid/,https://photos.zillowstatic.com/fp/f1f271eff665e1c065ef2d7d5e949567-p_e.jpg,22
136692107,784.0,2,2,https://www.zillow.com/homedetails/45131-28th-St-E-SPACE-1-Lancaster-CA-93535/136692107_zpid/,https://photos.zillowstatic.com/fp/84c7643146300470582a9860e20d8da0-p_e.jpg,23
300257178,1750.0,4,3,https://www.zillow.com/homedetails/719-3rd-St-Modesto-CA-95351/300257178_zpid/,https://photos.zillowstatic.com/fp/a4cfd3a8ccc519e1d3c3a9a1b87adc37-p_e.jpg,24
20189339,1230.0,3,2,https://www.zillow.com/homedetails/27610-Santa-Clarita-Rd-Santa-Clarita-CA-91350/20189339_zpid/,https://photos.zillowstatic.com/fp/3b3f77de07fc765a9857e16916c0152d-p_e.jpg,25
2080109871,800.0,2,1,https://www.zillow.com/homedetails/163-Rigel-St-Palm-Springs-CA-92264/2080109871_zpid/,https://photos.zillowstatic.com/fp/a9e2eb04e50a1cc9ecd46caf30648fff-p_e.jpg,26
69011807,3853.0,5,3,https://www.zillow.com/homedetails/15640-Bow-String-St-Victorville-CA-92394/69011807_zpid/,https://photos.zillowstatic.com/fp/ae40c07a97ce8310fe6c8414346290e6-p_e.jpg,27
